id,topic,difficulty,question,optionA,optionB,optionC,optionD,correctLetter,correctAnswer,explanation,source,tags
drivers-037,drivers,medium,"A medication label warns against 'operating heavy machinery.' According to the guide, what does this include?",Only construction equipment,Only commercial trucks,Driving a vehicle,Only forklifts and cranes,C,Driving a vehicle,Warnings against 'operating heavy machinery' include driving a vehicle. Read all warning labels before driving.,"WA Driver Guide §3.1, p. 74",medications|warning-labels|impairment
drivers-038,drivers,easy,What is the most common impairing substance involved in impaired driving crashes?,Cannabis,Prescription drugs,Alcohol,Over-the-counter medications,C,Alcohol,Alcohol is the most common impairing substance involved in impaired driving crashes.,"WA Driver Guide §3.1, p. 72",alcohol|crashes|impairment
drivers-039,drivers,medium,A 17-year-old intermediate license holder wants to call a friend while driving. Under what circumstance may they use their phone?,If they use a hands-free Bluetooth device,If the call lasts less than one minute,Only to report an emergency,If they pull into a designated phone zone,C,Only to report an emergency,"Intermediate license laws restrict the use of cell phones and wireless communication devices while driving, even with hands-free technology. The only exception is using your phone to report an emergency.","WA Driver Guide §1.8, p. 29",intermediate-license|cell-phone|emergency
drivers-040,drivers,hard,"A driver notices they are blinking frequently, feeling restless, and cannot remember driving the last few miles. What should they do?",Turn up the air conditioning and continue driving,Call someone to stay awake while driving,Pull over and rest because these are signs of fatigue,Switch to a higher-speed road to stay alert,C,Pull over and rest because these are signs of fatigue,"Frequent blinking, feeling restless, and not remembering the last few miles are signs of fatigue. The guide advises pulling over and resting when these signs appear.","WA Driver Guide §3.1, p. 75",fatigue|drowsy-driving|scenario
signs-signals-001,signs-signals,easy,An octagonal (eight-sided) red sign with white letters means:,Yield to traffic,Stop completely before proceeding,Slow down and watch for hazards,Road construction ahead,B,Stop completely before proceeding,"An octagonal red sign is a stop sign. You must stop at the line, crosswalk, or corner and yield the right-of-way to crossing vehicles and pedestrians.","WA Driver Guide §4.12, p. 114",signs|shapes|regulatory
signs-signals-002,signs-signals,easy,A triangular sign with a red border and white interior means:,Stop completely,No entry allowed,Yield — slow down and allow traffic with the right-of-way to cross first,School zone ahead,C,Yield — slow down and allow traffic with the right-of-way to cross first,A yield sign is triangular (point-down) with a red border and white interior. It means you must slow down and allow traffic that has the right-of-way to cross first.,"WA Driver Guide §4.12, p. 114",signs|shapes|regulatory
signs-signals-003,signs-signals,easy,What does a diamond-shaped yellow sign indicate?,A regulatory speed restriction,A warning about general or unexpected road conditions,Motorist services ahead,Recreational area nearby,B,A warning about general or unexpected road conditions,"Diamond-shaped yellow signs are warning signs that alert drivers to general or unexpected road conditions ahead, such as curves, hills, or merging traffic.","WA Driver Guide §4.12, p. 113",signs|shapes|warning
signs-signals-004,signs-signals,easy,A pentagon-shaped (five-sided) fluorescent yellow-green sign indicates:,A work zone ahead,A school zone or school crossing,A hospital nearby,A railroad crossing,B,A school zone or school crossing,"Pentagon-shaped fluorescent yellow-green signs warn of school zones, pedestrian areas, and bicycling activity. The color fluorescent yellow-green is specifically reserved for these warnings.","WA Driver Guide §4.12, p. 113",signs|shapes|school
signs-signals-005,signs-signals,easy,A round yellow sign is reserved for warnings about:,School crossings,Railroad crossings,Sharp curves,Work zones,B,Railroad crossings,"Round yellow signs are advance warning signs for railroad crossings, alerting drivers that tracks are ahead.","WA Driver Guide §4.12, p. 113",signs|shapes|railroad
signs-signals-006,signs-signals,easy,"What color are signs that provide motorist services guidance, such as hospitals and rest areas?",Green,Blue,White,Brown,B,Blue,"Blue signs provide motorist services guidance, showing the location of hospitals, electric vehicle charging stations, rest areas, and other services.","WA Driver Guide §4.12, p. 113",signs|colors
signs-signals-007,signs-signals,easy,Brown traffic signs are used to identify:,Motorist services like gas and food,"Public recreation, cultural, and historical areas",Regulatory speed limits,Construction warnings,B,"Public recreation, cultural, and historical areas","Brown signs identify public recreation, cultural, and historical areas such as hiking trails, picnic spaces, national parks, and museums.","WA Driver Guide §4.12, p. 113",signs|colors
signs-signals-008,signs-signals,easy,What color are regulatory signs that tell you about traffic rules such as speed limits?,Yellow with black text,White with black text,Green with white text,Orange with black text,B,White with black text,"White signs are regulatory signs that inform drivers of traffic rules, including speed limits, keep-right requirements, and other mandatory or prohibited actions.","WA Driver Guide §4.12, p. 113",signs|colors|regulatory
signs-signals-009,signs-signals,easy,Orange signs are used to warn drivers about:,"Construction, maintenance, or emergency operations",School zones and pedestrian crossings,Railroad crossings ahead,Detour routes and guide information,A,"Construction, maintenance, or emergency operations","Orange signs warn of construction, maintenance, or emergency operations ahead where workers may be present near the roadway.","WA Driver Guide §4.12, p. 113",signs|colors|work-zone
signs-signals-010,signs-signals,easy,Green traffic signs are used for:,Guide or directional information,Regulatory speed information,Warning about hazards,Recreational areas,A,Guide or directional information,"Green signs provide guide or directional information, including directions and distances to cities, airports, state lines, and special areas.","WA Driver Guide §4.12, p. 113",signs|colors|guide
signs-signals-011,signs-signals,easy,What does a steady red traffic light mean?,Stop and wait until the light turns green and the intersection is clear,Stop and then proceed when safe,Slow down and prepare to stop,Yield to traffic already in the intersection,A,Stop and wait until the light turns green and the intersection is clear,A solid red light means stop and wait until the traffic light turns green and there are no vehicles or pedestrians in the intersection before moving ahead.,"WA Driver Guide §4.11, p. 110",signals|red
signs-signals-012,signs-signals,easy,A flashing red traffic light has the same meaning as:,A yield sign,A stop sign,A green light with caution,A speed advisory sign,B,A stop sign,"A flashing red traffic light functions as a stop sign. You must come to a full stop, and then go when it's your turn.","WA Driver Guide §4.11, p. 110",signals|flashing
signs-signals-013,signs-signals,medium,A flashing yellow traffic light has the same meaning as:,A stop sign,A green light,A do-not-enter sign,A yield sign,D,A yield sign,A flashing yellow light has the same meaning as a yield sign. You should treat the intersection as an uncontrolled intersection and proceed when you have the right-of-way.,"WA Driver Guide §4.11, p. 111",signals|flashing
signs-signals-014,signs-signals,medium,"When a traffic signal is not working (dark or malfunctioning), you should:",Treat the intersection like a four-way stop,Proceed through carefully without stopping,Yield only to traffic on your left,Wait for a police officer to direct traffic,A,Treat the intersection like a four-way stop,"If a traffic signal isn't working, treat the intersection like a four-way stop. Come to a complete stop, yield to traffic on your right, and proceed cautiously when it's safe.","WA Driver Guide §4.10, p. 109",signals|malfunction
signs-signals-015,signs-signals,medium,"After stopping at a steady red light, when is a right turn permitted?",Only when a sign says 'right turn allowed on red',Only when there is a green right-turn arrow,Never — you must always wait for a green signal,When no 'no turn on red' sign is posted and you have plenty of room to enter traffic,D,When no 'no turn on red' sign is posted and you have plenty of room to enter traffic,"After coming to a complete stop at a red light, you can turn right if you don't see a 'no turn on red' sign and you have plenty of room to enter traffic.","WA Driver Guide §4.11, p. 110",signals|turning|red
signs-signals-016,signs-signals,hard,"After stopping at a steady red light, a left turn is permitted only onto:",Any road with a clear gap in traffic,"A one-way street, if no 'no turn on red' sign is posted",A two-way street when traffic is clear,A road with a dedicated left-turn lane,B,"A one-way street, if no 'no turn on red' sign is posted","After coming to a complete stop at a red light, you can turn left onto a one-way street if you don't see a 'no turn on red' sign and you have plenty of room to enter traffic.","WA Driver Guide §4.11, p. 110",signals|turning|red
signs-signals-017,signs-signals,easy,A solid yellow traffic light means:,Speed up to clear the intersection,Stop immediately regardless of your position,The light is changing to red — slow down and prepare to stop,Yield to pedestrians only,C,The light is changing to red — slow down and prepare to stop,A solid yellow light means the light is changing to red. Slow down and prepare to stop. You are not allowed to accelerate beyond the posted speed limit to enter or clear an intersection.,"WA Driver Guide §4.11, p. 111",signals|yellow
signs-signals-018,signs-signals,medium,What does a yellow arrow signal mean?,You may turn after yielding to oncoming traffic,You have a protected turn — proceed without yielding,The signal is about to turn red — prepare to stop and yield to oncoming traffic,Turn is prohibited in the direction of the arrow,C,The signal is about to turn red — prepare to stop and yield to oncoming traffic,A yellow arrow means the light is going to turn red soon. Prepare to stop and give the right-of-way to oncoming traffic.,"WA Driver Guide §4.11, p. 111",signals|arrows|yellow
signs-signals-019,signs-signals,medium,A green arrow signal means:,You have the right-of-way to travel in the direction of the arrow with no conflicting traffic,You may proceed in the direction of the arrow but must yield to oncoming traffic,You may turn only if the intersection is clear,Proceed with caution — crossing traffic may still be present,A,You have the right-of-way to travel in the direction of the arrow with no conflicting traffic,"A green arrow gives you the right-of-way to travel in that direction. There should be no oncoming vehicles, crossing traffic, or pedestrians while the arrow is green.","WA Driver Guide §4.11, p. 112",signals|arrows|green
signs-signals-020,signs-signals,easy,A red arrow signal means:,You may turn after stopping and yielding,Slow down and prepare to stop,You cannot go in the direction of the arrow,Yield to oncoming traffic before turning,C,You cannot go in the direction of the arrow,A red arrow means you can't go in the direction of the arrow. You must stop and wait.,"WA Driver Guide §4.11, p. 110",signals|arrows|red
signs-signals-021,signs-signals,medium,"At a solid green traffic light, a driver turning left must:",Proceed immediately since green means go,Honk to alert oncoming traffic of the turn,Wait for a green arrow before turning,Yield to approaching vehicles — oncoming traffic has the right-of-way,D,Yield to approaching vehicles — oncoming traffic has the right-of-way,"When turning left at a green light, you must yield to approaching vehicles. Oncoming traffic has the right-of-way. Wait for a safe break in traffic before completing the turn.","WA Driver Guide §4.11, p. 112",signals|turning|green
signs-signals-022,signs-signals,hard,What is true about accelerating through a yellow light?,It is legal if you can clear the intersection before it turns red,It is allowed only if no pedestrians are present,You are not allowed to accelerate beyond the posted speed limit to enter or clear an intersection,It is permitted on multi-lane roads,C,You are not allowed to accelerate beyond the posted speed limit to enter or clear an intersection,You are not allowed to accelerate beyond the posted speed limit to enter or clear an intersection when the light is yellow.,"WA Driver Guide §4.11, p. 111",signals|yellow|speed
signs-signals-023,signs-signals,medium,You are already in an intersection when the light turns yellow. You should:,Stop immediately in the intersection,Back up to the stop line,Speed up to exit the intersection faster,Continue through the intersection at the posted speed,D,Continue through the intersection at the posted speed,"If you're in the intersection when the yellow light comes on, continue through the intersection at the posted speed. Do not stop in the intersection or accelerate.","WA Driver Guide §4.11, p. 111",signals|yellow
signs-signals-024,signs-signals,medium,A 'Do Not Enter' sign is a square sign featuring:,A white horizontal line inside a red circle,A red circle with a red slash over a symbol,A red octagon with white letters,A red triangle pointing downward,A,A white horizontal line inside a red circle,"A Do Not Enter sign is a square sign with a white horizontal line inside a circle, indicating you can't enter the street from that direction.","WA Driver Guide §4.12, p. 116",signs|regulatory
signs-signals-025,signs-signals,easy,A regulatory sign with a red circle and a red slash over a symbol means:,The road is closed ahead,Construction activity prohibits entry,Emergency vehicles only,Certain actions such as turns or U-turns are not allowed,D,Certain actions such as turns or U-turns are not allowed,"Regulatory signs with a red circle and red slash over a symbol indicate that certain actions, such as left turns, right turns, or U-turns, are not allowed.","WA Driver Guide §4.12, p. 116",signs|regulatory
signs-signals-026,signs-signals,medium,"If you see a 'Wrong Way' sign while driving, you should:",Stop and turn around immediately,Pull to the right and stop,Slow down and proceed with caution,Continue and look for a detour sign,A,Stop and turn around immediately,A Wrong Way sign alerts you that you're driving in the wrong direction and is meant to prevent head-on collisions. You must stop and turn around immediately.,"WA Driver Guide §4.12, p. 116",signs|regulatory
signs-signals-027,signs-signals,medium,What is the posted speed limit in a school zone in Washington?,15 mph,20 mph,25 mph,30 mph,B,20 mph,The school zone speed limit is 20 mph because higher speeds increase the risk of fatal crashes near schools.,"WA Driver Guide §4.17, p. 140",signs|school|speed
signs-signals-028,signs-signals,medium,"In a work zone, fines for traffic offenses are:",Doubled when workers are present,The same as in other areas,Tripled when workers are present,Only increased for speeding violations,A,Doubled when workers are present,Fines double for offenses committed while driving in construction areas when workers are present.,"WA Driver Guide §4.12, p. 117",work-zone|penalties
signs-signals-029,signs-signals,easy,Flashing red lights at a railroad crossing mean:,Slow down and proceed with caution,You may proceed if you don't see a train,The crossing signal is malfunctioning,A train is approaching — stop and stay outside the gates,D,A train is approaching — stop and stay outside the gates,Flashing red lights at a railroad crossing mean a train is approaching and you need to stay outside of the gates.,"WA Driver Guide §4.7, p. 104",railroad|signals
signs-signals-030,signs-signals,medium,"When lights are flashing and bells are ringing at a railroad crossing, you must stop even if:",You can see the train is far away,The gate is not down yet,Other vehicles are proceeding through,The crossing has no gate,B,The gate is not down yet,"When lights are flashing and bells are ringing at a train crossing, you must stop — whether the gate is down or not. Never drive around the gate.","WA Driver Guide §4.7, p. 105",railroad|signals
signs-signals-031,signs-signals,hard,"When stopping for a railroad crossing signal, you must stop between what distances from the nearest rail?",5 and 25 feet,10 and 40 feet,15 and 50 feet,20 and 60 feet,C,15 and 50 feet,You must stop between 15 and 50 feet away from the nearest rail of a crossing when warning signals are active.,"WA Driver Guide §4.7, p. 105",railroad|distances
signs-signals-032,signs-signals,hard,"On a lane-use control signal above a reversible lane, a steady yellow X means:",The lane is open to traffic in your direction,The lane is closed — do not enter,The lane is for emergency vehicles only,The lane is changing direction — move out as soon as it's safe,D,The lane is changing direction — move out as soon as it's safe,"A steady yellow X over a reversible lane means the lane is changing direction, and you should move out of the lane as soon as it's safe.","WA Driver Guide §4.16, p. 136",signals|lanes
signs-signals-033,signs-signals,medium,"On a lane-use control signal, a red X means:",The lane is about to change direction,The lane is reserved for carpools,You cannot use this lane,Slow down — the lane is merging,C,You cannot use this lane,A red X over a reversible lane means you cannot use that lane. Only a green arrow means the lane is open to travel in your direction.,"WA Driver Guide §4.16, p. 136",signals|lanes
signs-signals-034,signs-signals,easy,"On a lane-use control signal, a green arrow means:",You can use the lane for travel in your direction,The lane is about to close,The lane is reserved for emergency vehicles,The lane is for high-occupancy vehicles only,A,You can use the lane for travel in your direction,A green arrow over a reversible lane means you can use the lane for travel in your direction.,"WA Driver Guide §4.16, p. 136",signals|lanes
signs-signals-035,signs-signals,medium,"Traffic control devices include signals, signs, and road markings. Who has the authority to overrule these devices?",Only police officers,Any driver in an emergency,"Law enforcement, construction workers, maintenance personnel, and school crossing guards",Only emergency vehicle operators,C,"Law enforcement, construction workers, maintenance personnel, and school crossing guards","Law enforcement, construction workers, maintenance personnel, and school crossing guards can direct traffic and overrule traffic signals. Their orders or directions must be followed.","WA Driver Guide §4.10, p. 109",signals|regulatory
signs-signals-036,signs-signals,easy,A 'One Way' sign with an arrow pointing left tells you:,Left turns only are permitted,You must turn left at the next intersection,The left lane is for turning only,Traffic flows only in the direction of the arrow on that street,D,Traffic flows only in the direction of the arrow on that street,One Way signs identify where traffic flows only in the direction of the arrow. You must never drive the wrong way on a one-way street.,"WA Driver Guide §4.12, p. 115",signs|regulatory
signs-signals-037,signs-signals,medium,What does a fluorescent yellow-green colored sign specifically warn about?,Railroad crossings ahead,Sharp curves or turns,"School, pedestrian, and bicycling activity",Upcoming highway merge,C,"School, pedestrian, and bicycling activity","Fluorescent yellow-green signs specifically warn of school, pedestrian, and bicycling activity areas.","WA Driver Guide §4.12, p. 113",signs|colors|school
signs-signals-038,signs-signals,hard,A speed warning sign (often seen before curves) indicates:,The mandatory minimum speed for that section,The maximum legal speed limit for that section,A recommended speed change for a potential hazard,The speed limit only during wet conditions,C,A recommended speed change for a potential hazard,"Speed warning signs indicate that a speed change is recommended for a potential hazard or road condition, often a curve or turn. Adjust your speed appropriately.","WA Driver Guide §4.12, p. 115",signs|speed|warning
signs-signals-039,signs-signals,hard,How does a flashing red light differ from a steady red light at an intersection?,A flashing red requires you to wait for green; a steady red allows turns,A flashing red means yield; a steady red means stop,A flashing red functions as a stop sign (stop then proceed when safe); a steady red requires waiting for green,There is no difference — both require stopping until the light changes,C,A flashing red functions as a stop sign (stop then proceed when safe); a steady red requires waiting for green,A flashing red functions as a stop sign — stop and proceed when it's your turn. A steady red requires you to stop and wait until the light turns green and the intersection is clear.,"WA Driver Guide §4.11, p. 110",signals|flashing|red
signs-signals-040,signs-signals,hard,How does a flashing yellow light differ from a steady yellow light?,Flashing yellow means yield/proceed with right-of-way; steady yellow means the light is about to turn red,Flashing yellow means stop; steady yellow means yield,Both mean the same thing — slow down and prepare to stop,Flashing yellow means the signal is broken; steady yellow means caution,A,Flashing yellow means yield/proceed with right-of-way; steady yellow means the light is about to turn red,A flashing yellow functions like a yield sign — proceed when you have the right-of-way. A steady yellow means the light is changing to red and you should prepare to stop.,"WA Driver Guide §4.11, p. 111",signals|flashing|yellow
signs-signals-041,signs-signals,hard,You will NOT see a flashing green traffic light in Washington state. Where might you encounter one?,"Oregon, as a pedestrian crossing warning","California, as a protected turn signal","Idaho, as a school zone indicator","British Columbia, Canada, as a warning that pedestrians are waiting to cross",D,"British Columbia, Canada, as a warning that pedestrians are waiting to cross","You won't see a flashing green light in Washington state. However, you might see them in British Columbia, Canada, as a warning that pedestrians are waiting to cross.","WA Driver Guide §4.11, p. 112",signals|green|flashing
signs-signals-042,signs-signals,medium,"A slow-moving vehicle, such as a farm vehicle designed to go 25 mph or less, is identified by:",A round orange sign on the front,A flashing blue light on top,A triangle sign or emblem on the back,A rectangular white sign on the side,C,A triangle sign or emblem on the back,Agricultural and farm vehicles designed to go 25 mph or less will have a triangle sign or emblem on the back to alert other drivers.,"WA Driver Guide §4.8, p. 106",signs|shapes|agricultural
signs-signals-043,signs-signals,easy,What does a red sign color indicate?,Prohibitive or restricted action,Construction warning,General road condition warning,Guide or directional information,A,Prohibitive or restricted action,"Red as a sign color indicates a prohibitive or restricted action, such as stop, yield, do not enter, or wrong way.","WA Driver Guide §4.12, p. 113",signs|colors
signs-signals-044,signs-signals,hard,"Automated traffic safety cameras in Washington can record images when you fail to stop at a steady red light, exceed the speed limit in a school zone, or:",Make an illegal U-turn,Fail to yield at a yield sign,Drive in a bus-only lane,Fail to stop at a railroad crossing signal,D,Fail to stop at a railroad crossing signal,"Automated cameras record images if you fail to stop at a steady red light, fail to stop at a railroad crossing signal, or exceed the speed limit in a school zone.","WA Driver Guide §4.12, p. 115",signs|cameras|regulatory
signs-signals-045,signs-signals,hard,A sign indicating a shared center lane left turn only means the lane is reserved for:,Passing slower vehicles from either direction,Left-turning vehicles traveling in one direction only,Emergency vehicles and buses only,"Left-turning vehicles from either direction, not for through traffic or passing",D,"Left-turning vehicles from either direction, not for through traffic or passing",A shared center lane left turn only sign indicates the lane is reserved for left-turning vehicles from either direction and is not to be used for through traffic or passing other vehicles.,"WA Driver Guide §4.12, p. 116",signs|regulatory|lanes
right-of-way-001,right-of-way,hard,You arrive at a four-way stop at the same time as a vehicle to your right. Neither of you is turning. Who has the right-of-way?,"You, because you are to their left",Whoever flashes their headlights first,The vehicle traveling on the wider street,The vehicle to your right,D,The vehicle to your right,"At a four-way stop, if two vehicles arrive at approximately the same time, you must yield to the vehicle on your right.","WA Driver Guide §4.13, p. 122",right-of-way|four-way-stop
right-of-way-002,right-of-way,hard,"At a four-way stop, three vehicles arrive at approximately the same time. You arrived first, but plan to turn left. The vehicle across from you is going straight. What should you do?",Go first because you arrived first,Flash your lights to signal your intent to turn,"Wait, because any vehicle turning left must yield to vehicles going straight",Turn left quickly before the other vehicle enters the intersection,C,"Wait, because any vehicle turning left must yield to vehicles going straight","At a four-way stop, any vehicle turning left must yield the right-of-way to vehicles going straight or turning right, regardless of arrival order.","WA Driver Guide §4.13, p. 122",right-of-way|four-way-stop|left-turn
right-of-way-003,right-of-way,hard,"At a two-way stop intersection, you are on the stopped road and want to turn left. A vehicle on the through road is approaching from your left. Who has the right-of-way?",The vehicle on the through road going straight,"You, because the other vehicle is to your left",Whoever reaches the center of the intersection first,"You, because you stopped first",A,The vehicle on the through road going straight,"At a two-way stop, turning vehicles must yield to the vehicle going straight. The vehicle going straight has the right-of-way.","WA Driver Guide §4.13, p. 122",right-of-way|two-way-stop
right-of-way-004,right-of-way,medium,"When making either a left or right turn at an intersection, Washington law requires you to turn into which lane?",Any available lane on the new road,The lane closest to the direction you are coming from,The center lane,The far lane to avoid other turning traffic,B,The lane closest to the direction you are coming from,"State law requires you to turn into the lane closest to the direction you are coming from. Once you complete your turn, you can change to another lane if needed.","WA Driver Guide §4.14, p. 123",turning|lane-position
right-of-way-005,right-of-way,medium,How far before a turn must you activate your turn signal?,50 feet,200 feet,300 feet,100 feet,D,100 feet,You must put on your turn signal at least 100 feet before you turn left or right across oncoming traffic.,"WA Driver Guide §4.14, p. 123",turning|signals
right-of-way-006,right-of-way,medium,You are waiting to turn left at a green light. Oncoming traffic is approaching. What should you do?,Yield to oncoming traffic and wait for a safe gap before turning,Turn quickly before the oncoming vehicles arrive,Honk to alert oncoming traffic of your turn,Proceed because a green light always gives you the right-of-way,A,Yield to oncoming traffic and wait for a safe gap before turning,"When turning left at a green light, you must yield to approaching vehicles. Oncoming traffic has the right-of-way. Wait for a break in traffic before completing your turn.","WA Driver Guide §4.10, p. 112",left-turn|right-of-way|signals
right-of-way-007,right-of-way,medium,"In Washington, when are U-turns NOT allowed?",Only in school zones,At any intersection controlled by traffic lights,Within 500 feet of any intersection,"Where a sign prohibits them, on a curve, or near the crest of a hill",D,"Where a sign prohibits them, on a curve, or near the crest of a hill","In Washington, U-turns are generally allowed unless a sign is posted telling you they are not allowed. You must also not make a U-turn on a curve or when approaching the crest of a hill because you need clear visibility in all directions.","WA Driver Guide §4.14, p. 124",u-turn|turning
right-of-way-008,right-of-way,medium,You approach a T-intersection where the road you are on ends at a through road. There is a yield sign. Who has the right-of-way?,"You, because you are making a turn",Traffic on the through road,The vehicle that arrives first,The vehicle to your right only,B,Traffic on the through road,"At a T-intersection, passing traffic on the through road has the right-of-way. Yield or stop signs let you know this.","WA Driver Guide §4.14, p. 124",right-of-way|t-intersection
right-of-way-009,right-of-way,medium,"When approaching a roundabout, you must yield to:",Traffic entering from the right,Only emergency vehicles,Traffic entering from the left,All traffic already in the roundabout,D,All traffic already in the roundabout,You must look left and yield to all traffic already in the roundabout since they have the right-of-way. Enter only when you see a gap in traffic.,"WA Driver Guide §4.15, p. 127",roundabout|right-of-way
right-of-way-010,right-of-way,easy,What is the correct direction of travel inside a roundabout?,Counterclockwise,Clockwise,Either direction depending on your exit,Straight through the center island,A,Counterclockwise,"In a roundabout, all traffic enters to the right and travels counterclockwise around the raised center island.","WA Driver Guide §4.15, p. 126",roundabout
right-of-way-011,right-of-way,hard,You are driving through a roundabout when you hear an emergency vehicle siren behind you. What should you do?,Stop immediately in your lane,"Drive through the roundabout, exit, and then pull over",Speed up to exit the roundabout faster,Cut across the center island to get out of the way,B,"Drive through the roundabout, exit, and then pull over","If an emergency vehicle approaches while you are in a roundabout, drive through the roundabout and pull over after exiting, just like you would at any other intersection.","WA Driver Guide §4.15, p. 127",roundabout|emergency-vehicles
right-of-way-012,right-of-way,medium,Roundabouts are designed for travel at what speed range?,5 to 10 mph,25 to 35 mph,15 to 25 mph,30 to 45 mph,C,15 to 25 mph,Roundabouts are designed for speeds between 15 and 25 mph. Slow down when approaching a roundabout.,"WA Driver Guide §4.15, p. 127",roundabout|speed
right-of-way-013,right-of-way,hard,"After coming to a complete stop at a red light, you may turn left onto:","Any street, as long as there is no oncoming traffic","A two-way street, as long as you yield",A one-way street only if a green arrow appears,"A one-way street, if no 'no turn on red' sign is posted",D,"A one-way street, if no 'no turn on red' sign is posted","After coming to a complete stop at a red light, you can turn left onto a one-way street if you don't see a 'no turn on red' sign and you have plenty of room to enter traffic.","WA Driver Guide §4.11, p. 110",turning|red-light
right-of-way-014,right-of-way,easy,You approach an intersection with no traffic signs or signals. A vehicle is already in the intersection. What must you do?,Enter the intersection and yield once inside,Proceed if you are on the wider road,Yield the right-of-way to the vehicle already in the intersection,Honk to signal your approach and proceed,C,Yield the right-of-way to the vehicle already in the intersection,"At an uncontrolled intersection, you must yield the right-of-way if a vehicle is already in the intersection.","WA Driver Guide §4.15, p. 129",right-of-way|uncontrolled-intersection
right-of-way-015,right-of-way,medium,You are entering a paved state highway from an unpaved road. Who has the right-of-way?,Traffic on the paved state highway,"You, if there is no stop sign",Whichever vehicle arrives first,Vehicles traveling uphill,A,Traffic on the paved state highway,"At an uncontrolled intersection, you must yield if you enter a paved road from an unpaved road, or if you enter or cross a state highway from a secondary road.","WA Driver Guide §4.15, p. 129",right-of-way|uncontrolled-intersection
right-of-way-016,right-of-way,medium,How far are you allowed to travel in a two-way left turn lane?,100 feet,200 feet,500 feet,300 feet,D,300 feet,You should not travel farther than 300 feet in a center two-way left turn lane. These lanes are reserved for vehicles making left turns or U-turns.,"WA Driver Guide §4.16, p. 134",two-way-left-turn-lane|distance
right-of-way-017,right-of-way,medium,A two-way left turn lane in the center of a road may be used for:,Passing slower traffic,Making left turns from either direction or permitted U-turns,Traveling through heavy traffic,Merging onto the road from a side street,B,Making left turns from either direction or permitted U-turns,"Shared center lanes are reserved for vehicles making left turns in either direction from or into the roadway, or U-turns when permitted. They must not be used for passing.","WA Driver Guide §4.16, p. 133",two-way-left-turn-lane
right-of-way-018,right-of-way,easy,You hear a siren and see flashing lights from an emergency vehicle behind you. What must you do?,Speed up to get out of the way,Stop immediately wherever you are,Move to the left lane and slow down,Pull to the right side of the road and stop,D,Pull to the right side of the road and stop,"When you see or hear emergency vehicle signals, immediately pull your vehicle to the right side of the road and stop. Wait until the emergency vehicle has passed before reentering traffic.","WA Driver Guide §4.9, p. 107",emergency-vehicles|right-of-way
right-of-way-019,right-of-way,medium,Every intersection in Washington is legally considered a:,"Crosswalk, whether marked or unmarked",School zone,No-passing zone,Construction zone,A,"Crosswalk, whether marked or unmarked",Every intersection is legally defined as a crosswalk regardless of whether a crosswalk marking is present. You must yield to pedestrians.,"WA Driver Guide §4.13, p. 121",pedestrians|crosswalk|intersections
right-of-way-020,right-of-way,hard,You are at a four-way stop. You arrived second after the vehicle across from you. A third vehicle arrives to your right. In what order should vehicles proceed?,"You, the vehicle across, then the vehicle to your right","The vehicle to your right, then you, then the vehicle across","The vehicle across from you first, then you, then the third vehicle",All vehicles proceed simultaneously,C,"The vehicle across from you first, then you, then the third vehicle","At a four-way stop, the first vehicle to arrive goes first, the second goes second, and so on. The vehicle across arrived first and goes first, you go second, and the third vehicle goes last.","WA Driver Guide §4.13, p. 122",right-of-way|four-way-stop
right-of-way-021,right-of-way,medium,You stop at a stop sign but cannot see cross traffic because a parked vehicle is blocking your view. What should you do?,Honk your horn and proceed quickly,Wait until the parked vehicle moves,Back up and try a different route,"Edge forward slowly until you can see, which also lets crossing drivers see your front",D,"Edge forward slowly until you can see, which also lets crossing drivers see your front","If you stop on the stop line but your view is blocked, edge forward slowly until you can see. This allows crossing drivers to see the front of your vehicle and gives them a chance to slow down.","WA Driver Guide §4.13, p. 121",intersections|visibility
right-of-way-022,right-of-way,easy,"Before entering an intersection, you must make sure there is enough space for you to:",Cross or turn without blocking the intersection,Accelerate to the speed limit,Make a complete stop inside the intersection if needed,Change lanes within the intersection,A,Cross or turn without blocking the intersection,"Before entering an intersection, make sure there is enough space for you to cross or turn without blocking the intersection.","WA Driver Guide §4.13, p. 122",intersections|gridlock
right-of-way-023,right-of-way,medium,You are approaching a roundabout and want to turn left. Which lane should you use?,The right lane,Either lane,The lane indicated by the lane choice sign for left turns,The center median lane,C,The lane indicated by the lane choice sign for left turns,"The lane choice sign at a roundabout shows which lanes are used for right turns, straight through travel, and left turns. Pick the correct lane as you approach and stay in it until you exit.","WA Driver Guide §4.15, p. 127",roundabout|lane-position
right-of-way-024,right-of-way,hard,"When exiting a roundabout, you must stop for:",Pedestrians and bicyclists in crosswalks,Vehicles behind you in the roundabout,Vehicles waiting to enter the roundabout,"No one, because vehicles in the roundabout always have the right-of-way",A,Pedestrians and bicyclists in crosswalks,You must stop for pedestrians and bicyclists in crosswalks both when you enter and when you exit the roundabout.,"WA Driver Guide §4.15, p. 127",roundabout|pedestrians
right-of-way-025,right-of-way,medium,A traffic signal is completely dark and not working at all. How should you treat the intersection?,As a yield sign,Proceed with caution without stopping,As a four-way stop,As an uncontrolled intersection,C,As a four-way stop,"If a traffic signal isn't working, treat the intersection like a four-way stop. Come to a complete stop, yield to traffic on your right, and proceed cautiously when safe.","WA Driver Guide §4.10, p. 109",intersections|signals
